model_id_1,model_id_2,queries,official_internal_bv,candidate_internal_bv,official_root_bv,candidate_primitive_root_bv,official_total_rss,candidate_total_rss,official_triangles,candidate_triangles,distance_filter_skips,containment_filter_checks,containment_filter_skips,axis_filter_checks,axis_filter_skips,official_fp,official_fn,candidate_fp,candidate_fn
18,4,4206,0,0,4206,4206,4206,4206,0,0,264978,4206,0,264978,264978,0,0,0,0
18,5,4206,0,0,4206,4206,4206,4206,0,0,264978,4206,0,264996,264978,0,0,0,0
18,21,4206,62438,0,4206,4206,66644,4206,0,0,29442,4206,0,29442,29442,0,0,0,0
19,2,4206,0,0,4206,4206,4206,4206,0,0,264978,4206,0,264978,264978,0,0,0,0
19,3,4206,0,0,4206,4206,4206,4206,0,0,264978,4206,0,284022,264978,0,0,0,0
19,4,4206,0,0,4206,4206,4206,4206,0,0,264978,4206,0,264978,264978,0,0,0,0
19,5,4206,0,0,4206,4206,4206,4206,0,0,264978,4206,0,264993,264978,0,0,0,0
19,17,4206,8412,0,4206,8412,12618,8412,0,0,260772,8412,0,312547,260772,0,0,0,0
19,21,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,29442,29442,0,0,0,0
20,17,4621,0,0,4621,4621,4621,4621,0,0,291123,4621,0,293450,291123,0,0,0,0
20,18,4621,0,0,4621,4621,4621,4621,0,0,291123,4621,0,313163,291123,0,0,0,0
20,19,4621,0,0,4621,4621,4621,4621,0,0,291123,4621,0,334019,291123,0,0,0,0
20,26,1317,0,0,1317,1317,1317,1317,0,0,9219,1317,0,9219,9219,0,0,0,0
20,37,2889,0,0,2889,2889,2889,2889,0,0,20223,2889,0,20223,20223,0,0,0,0
26,2,1317,0,0,1317,1317,1317,1317,0,0,9219,1317,0,9219,9219,0,0,0,0
26,3,1317,0,0,1317,1317,1317,1317,0,0,9219,1317,0,9219,9219,0,0,0,0
26,4,1317,0,0,1317,1317,1317,1317,0,0,9219,1317,0,9219,9219,0,0,0,0
26,5,1317,0,0,1317,1317,1317,1317,0,0,9219,1317,0,9219,9219,0,0,0,0
26,17,1317,2634,0,1317,1317,3951,1317,0,0,9219,1317,0,14115,9219,0,0,0,0
